restaurant_id,restaurant_name,num_collection,num_review,num_category_restaurant,num_revisit,influential_review_score,score
168S7r31fng92yvqbBqNOQ,플랫나인,92,2353,597,62,17,3737
jEnRpqluA719LQjVbqMjfQ,스시 결,249,785,501,189,178,3654
A9Bahp1qqbHF1LaxVEuuOA,스시리큐,73,839,501,321,311,3621
vmbRKLQMlWYcD2-5lketpA,하레마,36,772,501,272,805,3618
meTGsNRKsDYarOxEEKPc5Q,스시이젠,92,648,501,243,708,3532
sMz-2Aen-L93xN5hy0fIMQ,스시사키,176,859,501,195,291,3506
azPMelv3nWoY5C58ykpkAA,스시쿠도쿠,36,1557,501,236,64,3482
uL2MF1olMB5eg0QJoddAUQ,스시서정,102,1705,501,144,29,3465
jn5ISOcpWQ8ndd-fwX4v2Q,스시소라 정자점,36,1811,501,173,34,3391
ohDY0C6RHwaYmqnVUKP11g,상남스시,39,1012,501,311,74,3337
cqbUQADGJCByLzJCX9eDHA,솔밤,306,804,44,132,285,3323
N9X3nqfoPrPdDfH9-qAPrw,스시논데 (종로점) ,72,1052,501,253,75,3253
NbajxqGkEErlui9LpiriYg,스시하루,24,856,501,191,816,3248
hJR770Tl7HcSclAPUuR_pA,바이킹스워프 롯데월드몰점,12,2782,26,66,32,3230
cjAy_NbP17irQfzaRfqoBw,CHOI. 쵸이닷,93,1886,486,59,76,3208
tRfNfEO4zcoPiMW85GUqIA,스시시미즈,93,627,501,271,217,3165
4p-jnk9CocZ2qPzslA1EmQ,조선팰리스 호텔 강남 콘스탄스,26,2173,78,151,24,3160
VN2C4SxERbHkFaPgbzQarQ,스시욘즈,59,1468,501,153,130,3159
9Ch2kAPlXkYG2oMd7g2pHw,더이탈리안 클럽,21,1600,486,168,67,3098
wRC15i2WZRrj8TYqj9040g,스시히타,39,676,501,286,295,3097
VsD5rduELmS-Gh8gamV8Zw,라망시크레,206,1249,44,110,212,3085
V5BGw8p0P0kR6iGIud1QcA,가네끼스시,69,961,501,215,190,3072
